query_id,question,schema,query
39,What is the status of the city that has hosted the most competitions?,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}",SELECT status FROM city WHERE city id = (SELECT host city id FROM farm competition GROUP BY host city id ORDER BY COUNT(*) DESC LIMIT 1)
40,Please show the themes of competitions with host cities having populations larger than 1000.,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}","SELECT theme 
FROM farm_competition 
WHERE host_city_id IN (
  SELECT city_id 
  FROM city 
  WHERE population > 1000)"
41,What are the themes of competitions that have corresponding host cities with more than 1000 residents?,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}","SELECT DISTINCT `farm competition`.theme
FROM `farm competition`
JOIN city ON `farm competition`.`host city id` = city.`city id`
WHERE city.population > 1000"
42,Please show the different statuses of cities and the average population of cities with each status.,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}","SELECT status, AVG(population) 
FROM city 
GROUP BY status"
43,What are the statuses and average populations of each city?,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}","SELECT status, AVG(population) 
FROM city 
GROUP BY status"
44,"Please show the different statuses, ordered by the number of cities that have each.","{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}","SELECT status, COUNT(*) as num_cities
FROM city
GROUP BY status
ORDER BY num_cities DESC"
45,"Return the different statuses of cities, ascending by frequency.","{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}","SELECT status, COUNT(*) as frequency 
FROM city 
GROUP BY status 
ORDER BY frequency ASC"
46,List the most common type of Status across cities.,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}","SELECT status, COUNT(*) as count 
FROM city 
GROUP BY status 
ORDER BY count DESC 
LIMIT 1;"
47,What is the most common status across all cities?,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}","SELECT status, COUNT(*) as count 
FROM city 
GROUP BY status 
ORDER BY count DESC 
LIMIT 1"
48,List the official names of cities that have not held any competition.,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}",SELECT official name FROM city WHERE city id NOT IN (SELECT host city id FROM farm competition)
49,What are the official names of cities that have not hosted a farm competition?,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}",SELECT official name FROM city WHERE city id NOT IN (SELECT host city id FROM farm competition)
50,Show the status shared by cities with population bigger than 1500 and smaller than 500.,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}",SELECT status FROM city WHERE population > 1500 OR population < 500
51,Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}","SELECT DISTINCT status 
FROM city 
WHERE population > 1500 OR population < 500"
52,Find the official names of cities with population bigger than 1500 or smaller than 500.,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}",SELECT official name FROM city WHERE population > 1500 OR population < 500
53,What are the official names of cities that have population over 1500 or less than 500?,"{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}",SELECT official name FROM city WHERE population > 1500 OR population < 500
54,"Show the census ranking of cities whose status are not ""Village"".","{'column_names': [[-1, '*'], [0, 'city id'], [0, 'official name'], [0, 'status'], [0, 'area km 2'], [0, 'population'], [0, 'census ranking'], [1, 'farm id'], [1, 'year'], [1, 'total horses'], [1, 'working horses'], [1, 'total cattle'], [1, 'oxen'], [1, 'bulls'], [1, 'cows'], [1, 'pigs'], [1, 'sheep and goats'], [2, 'competition id'], [2, 'year'], [2, 'theme'], [2, 'host city id'], [2, 'hosts'], [3, 'competition id'], [3, 'farm id'], [3, 'rank']], 'column_names_original': [[-1, '*'], [0, 'City_ID'], [0, 'Official_Name'], [0, 'Status'], [0, 'Area_km_2'], [0, 'Population'], [0, 'Census_Ranking'], [1, 'Farm_ID'], [1, 'Year'], [1, 'Total_Horses'], [1, 'Working_Horses'], [1, 'Total_Cattle'], [1, 'Oxen'], [1, 'Bulls'], [1, 'Cows'], [1, 'Pigs'], [1, 'Sheep_and_Goats'], [2, 'Competition_ID'], [2, 'Year'], [2, 'Theme'], [2, 'Host_city_ID'], [2, 'Hosts'], [3, 'Competition_ID'], [3, 'Farm_ID'], [3, 'Rank']], 'column_types': ['text', 'number', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'text', 'number', 'text', 'number', 'number', 'number'], 'db_id': 'farm', 'foreign_keys': [[20, 1], [23, 7], [22, 17]], 'primary_keys': [1, 7, 17, 22], 'table_names': ['city', 'farm', 'farm competition', 'competition record'], 'table_names_original': ['city', 'farm', 'farm_competition', 'competition_record']}","SELECT `census ranking` FROM city WHERE status != ""Village"""
